CR|Sucursal|División|Zona
3769|MONTERREY NUEVO REPUEBLO|NORESTE|MONTERREY SUR
3773|SANTA CATARINA FIDEL VELAZQUEZ|NORESTE|MONTERREY VALLE
3782|GUADALUPE CENTRO|NORESTE|GUADALUPE
3788|MONTERREY HOSPITAL SAN JOSE|NORESTE|MONTERREY VALLE
3790|MONTERREY CERVECERIA|NORESTE|MONTERREY NORTE
3795|SANTA BARBARA|NORESTE|MONTERREY VALLE
3796|ESCOBEDO MODULO ADUANA|NORESTE|MONTERREY SAN NICOLAS
3797|APODACA MODULO ADUANA AEROPUERTO|NORESTE|MONTERREY SAN NICOLAS
3804|GUADALUPE COUNTRY AMERICAS|NORESTE|MONTERREY SUR
3818|MONTERREY LAS TORRES|NORESTE|MONTERREY SUR
3820|SAN NICOLAS GAMESA|NORESTE|MONTERREY SAN NICOLAS
3853|NUEVO LAREDO MODULO ADUANA COLOMBIA|NORESTE|TAMAULIPAS NORTE
3865|PLAZA PATRIA|OCCIDENTE|GUADALAJARA ZAPOPAN
3868|HIDALGO MUNGUIA|OCCIDENTE|GUADALAJARA VALLARTA
3875|ACUEDUCTO|OCCIDENTE|GUADALAJARA ZAPOPAN
3879|GUADALAJARA PLAZA ARBOLEDAS|OCCIDENTE|GUADALAJARA INDUSTRIAL
3884|GUADALAJARA MODULO ADUANAL AEROPUERTO|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
3889|PLAZA MONTECASINO|OCCIDENTE|GUADALAJARA CENTRO
3891|ESTEBAN ALATORRE|OCCIDENTE|GUADALAJARA ORIENTE
3902|JARDINES UNIVERSIDAD|OCCIDENTE|GUADALAJARA VALLARTA
3908|EL SALTO IBM|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
3916|CUERNAVACA PLAZA LAUREL|SUR|MORELOS NORTE
3918|JIUTEPEC CUAHUNAHUAC CIVAC|SUR|MORELOS SUR
3920|CUERNAVACA PLAZA LAS PALMAS|SUR|MORELOS NORTE
3923|CUERNAVACA UNIVERSIDAD|SUR|MORELOS NORTE
3925|CUERNAVACA SAN DIEGO|SUR|MORELOS SUR
3929|CUAUTLA REFORMA|SUR|MORELOS SUR
3931|PLAZA CINEMUNDO|SUR|MORELOS SUR
3939|AGUASCALIENTES EXPOPLAZA|BAJIO|AGUASCALIENTES
3974|MEXICALI CENTRO CIVICO|NOROESTE|MEXICALI
3979|MEXICALI PUEBLO NUEVO|NOROESTE|MEXICALI
4069|COATZACOALCOS MODULO PEMEX|SUR|COATZACOALCOS
