ATM|FALLA|CAUSA|FECHA_INICIO|HORA_INICIO|FRACCION_HRS_F|HRS_FUERA|FAULTID|VENTANA
1158|Contingencia|Sin atencion por contingencia|2020-03-26|11:36:34|0.233|320|2364|Contingencia
1182|Contingencia|Sin atencion por contingencia|2020-04-01|03:33:01|0.283|184|2364|Contingencia
1257|Contingencia|Sin atencion por contingencia|2020-04-06|18:17:38|0.549|50|2364|Contingencia
1278|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-07|08:38:55|0.2|36|21|Mantenimiento Tecnico
1303|Contingencia|Sin atencion por contingencia|2020-04-06|15:24:00|0.433|53|2364|Contingencia
1324|Contingencia|Sin atencion por contingencia|2020-03-23|13:47:54|0.05|390|2364|Contingencia
1465|Contingencia|Sin atencion por contingencia|2020-04-01|09:54:22|0.933|177|2364|Contingencia
1469|Contingencia|Sin atencion por contingencia|2020-03-24|13:06:41|0.733|366|2364|Contingencia
1472|Contingencia|Sin atencion por contingencia|2020-04-02|08:28:18|0.366|155|2364|Contingencia
1508|Contingencia|Sin atencion por contingencia|2020-03-27|09:46:05|0.066|298|2364|Contingencia
1523|Contingencia|Sin atencion por contingencia|2020-03-19|12:25:06|0.416|487|2364|Contingencia
1531|Fallas Otras causas|MT por ocurrencia de error en aceptador|2020-04-08|20:20:00|0.5|0|216|Mantenimiento Tecnico
1650|Contingencia|Sin atencion por contingencia|2020-04-03|23:40:01|0.166|116|2364|Contingencia
1678|Contingencia|Sin atencion por contingencia|2020-04-03|19:58:01|0.866|119|2364|Contingencia
1703|Fallas Otras causas|Posible billete at en Dis E024 / TFS|2020-04-08|20:15:27|0.583|0|202|Mantenimiento Tecnico
1959|Contingencia|Sin atencion por contingencia|2020-04-08|17:49:08|0.016|3|2364|Contingencia
1980|Fallas Dispensador|Posible billete atorado en dispensador e104 / TFS|2020-04-08|14:03:58|0.783|6|202|Mantenimiento Tecnico
2011|Fallas Otras causas|Sensor slida bloqueado E194 / TFS|2020-04-07|15:31:45|0.316|29|202|Mantenimiento Tecnico
2058|Fallas Dispensador|Posible billete atorado en dispensador e074|2020-04-08|19:20:02|0.5|1|201|Recuperacion Manual
2091|Contingencia|Sin atencion por contingencia|2020-04-04|14:47:14|0.049|101|2364|Contingencia
2224|Contingencia|Sin atencion por contingencia|2020-03-30|08:24:51|0.433|227|2364|Contingencia
2225|Contingencia|Sin atencion por contingencia|2020-03-30|08:24:57|0.433|227|2364|Contingencia
2254|Fallas Dispensador|Posible billete atorado en dispensador e104 / TFS|2020-04-07|15:57:08|0.883|28|202|Mantenimiento Tecnico
2396|Contingencia|Sin atencion por contingencia|2020-04-01|12:09:01|0.683|175|2364|Contingencia
2504|Contingencia|Sin atencion por contingencia|2020-04-02|14:11:09|0.65|149|2364|Contingencia
2513|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|14:33:09|0.283|6|21|Mantenimiento Tecnico
2526|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|10:45:49|0.083|10|216|Mantenimiento Tecnico
2534|Fallas Otras causas|Medio|2020-04-08|13:17:37|0.549|7|16|Comunicaciones
2594|Contingencia|Sin atencion por contingencia|2020-03-26|17:47:03|0.05|314|2364|Contingencia
2628|Fallas Otras causas|Posible tarjeta at lec D114 / TFS|2020-04-08|20:16:06|0.566|0|206|Mantenimiento Tecnico
2698|Contingencia|Sin atencion por contingencia|2020-04-08|11:01:08|0.816|9|2364|Contingencia
2706|Contingencia|Sin atencion por contingencia|2020-04-08|18:45:41|0.083|2|2364|Contingencia
2763|Contingencia|Sin atencion por contingencia|2020-04-08|12:59:41|0.849|7|2364|Contingencia
